Name,Infomail,Latitude,Longitude,Bilanzsumme
VR Bank Südliche Weinstraße-Wasgau eG,info@vrbank-sww.de,49.10281,7.99913,"1,762,636"
VR Bank Schleswig-Mittelholstein eG,info@vr-sl-mh.de,54.28827,9.69426,"1,733,024"
VR Bank Riedlingen-Federsee eG,info@vrbank-rf.de,48.15344,9.47488,"930,558"
VR Bank Rhein-Neckar eG,info@vrbank.de,49.48929,8.46731,"5,070,866"
VR Bank Rhein-Mosel eG,info@vrbrm.de,50.43024,7.4663,"1,803,478"
VR Bank Ravensburg-Weingarten eG,info@vrbank-rv-wgt.de,47.7811,9.61247,"1,387,743"
VR Bank Oldenburg Land eG,info@.vrbank-oldenburgland.de,52.8971,8.43643,"1,160,155"
"VR Bank Oberfranken Mitte eG, Kulmbach",info@vr-ofrm.de,50.10084,11.44791,"1,437,883"
VR Bank Nord eG,info@vrbanknord.de,54.7833,9.43333,"4,769,739"
VR Bank Neuburg-Rain eG,info@vr-neuburg-rain.de,48.7372,11.17953,"1,430,111"
"VR Bank München Land eG, Oberhaching",info@vr-bank-muenchen-land.de,48.02614,11.59632,"2,328,903"
"VR Bank Mittlere Oberpfalz eG, Schwandorf",info@vr-mio.de,49.32619,12.10927,"1,289,345"
VR Bank Mittelhaardt eG,info@vrbank-mittelhaardt.de,49.46329,8.17051,"662,190"
VR Bank Metropolregion Nürnberg eG,info@vr-teilhaberbank.de,49.58191,10.60774,"5,446,255"
VR Bank Mecklenburg eG,info@vrbankmecklenburg.de,53.62883,11.4148,"2,331,766"
VR Bank Main-Kinzig-Büdingen eG,info@vrbank-mkb.de,50.29724,9.09908,"3,818,316"
VR Bank Lausitz eG,info@vrblausitz.de,51.75674,14.33573,"740,551"
VR Bank Lahn-Dill eG,info@vrbank-lahndill.de,50.74045,8.2875,"2,262,204"
VR Bank Kitzingen eG,info@vrkt.de,49.73398,10.16122,"889,947"
VR Bank in Holstein eG,info@vrbank-in-holstein.de,53.72789,9.69796,"3,460,011"
VR Bank Ihre Heimatbank eG,info@vr-heimatbank.de,50.97471,10.31936,"875,087"
VR Bank Hohenneuffen-Teck eG,info@vrbankht.de,48.59351,9.36036,"1,030,434"
VR Bank HessenLand eG,info@vrbank-hessenland.de,50.75235,9.26836,"2,417,499"
VR Bank Heilbronn Schwäbisch Hall eG,info@vrbank-hsh.de,49.1124,9.7369,"4,988,686"
VR Bank Fulda eG,info@vrbankfulda.de,50.55423,9.67704,"2,358,635"
VR Bank Enz plus eG,info@volksbank-pur.de,48.95203,8.5706,"1,569,782"
VR Bank eG Monheim,info@vrbankeg.de,48.84236,10.85627,"1,533,804"
VR Bank eG Heuberg-Winterlingen,info@vrbank-hw.de,48.1806,8.96191,"507,672"
VR Bank eG Bergisch Gladbach-Leverkusen,info@vrbankgl.de,50.99293,7.12774,"2,635,986"
VR BANK Dinklage-Steinfeld eG,info@vr-bank-dinklage-steinfeld.de,52.66318,8.12184,"619,228"
VR Bank Bayreuth-Hof eG,info@vrbank-bayreuth-hof.de,49.94272,11.57631,"2,633,800"
VR Bank Bamberg-Forchheim eG Volks- Raiffeisenbank,info@vrbank-bamberg-forchheim.de,49.8916,10.88685,"3,478,775"
VR Bank Bad Orb-Gelnhausen eG,info@vbrb.de,50.20286,9.19049,"589,988"
VR Bank Augsburg-Ostallgäu eG,info@vrbank-augsburg-ostallgaeu.de,48.3668,10.8987,"4,024,329"
VR Bank Alzey-Land-Schwabenheim eG,info@vr-bank-alzey-land-schwabenheim.de,49.85032,7.9513,"126,720"
VR Bank Alsheim eG,info@vrbank-alsheim.de,49.76565,8.34179,"140,153"
Volksbank-Raiffeisenbank Glauchau eG,info@vr-glauchau.de,50.8199,12.53979,"466,821"
Volksbank-Raiffeisenbank Amberg eG,info@vr-as.de,49.44542,11.85873,"1,078,608"
Volksbank Zwickau eG,info@volksbank-zwickau.de,50.7185,12.49393,"227,439"
Volksbank Zuffenhausen eG,info@voba-zuff.de,48.77845,9.18001,"727,645"
Volksbank Wümme Wieste,info@volksbank-wuemme-wieste.de,53.11618,9.23544,"743,503"
Volksbank Worpswede eG,info@voba-worpswede.de,53.223,8.92835,"114,945"
Volksbank Wolfenbüttel eG,info@volksbank-mit-herz.de,52.16253,10.53482,"2,761,927"
Volksbank Wittgenstein eG,info@volksbank-wittgenstein.de,51.04785,8.39178,"263,729"
Volksbank Wittenberg eG,info@volksbank-wittenberg.de,51.86665,12.64676,"245,999"
Volksbank Wißmar eG,info@volksbank-wissmar.de,50.63727,8.64896,"87,463"
Volksbank Winsener Marsch eG,info@vbwinsenermarsch.de,53.39543,10.34861,"230,798"
Volksbank Wilhelmshaven eG,info@vobawhv.de,53.52788,8.1063,"620,343"
Volksbank Wickede (Ruhr) eG,info@vb-wickede.de,51.49605,7.8696,"173,471"
Volksbank Westerstede eG,info@vb-westerstede.de,53.25752,7.92734,"465,402"
Volksbank Westerkappeln-Saerbeck eG,info@vb-ws.de,52.31417,7.87722,"269,646"
Volksbank Westenholz eG,info@vb-westenholz.de,51.76492,8.5595,"82,879"
Volksbank Weschnitztal eG,info@volksbank-weschnitztal.de,49.22823,12.88446,"485,876"
Volksbank Welzheim eG,info@vrbsw.de,48.87492,9.63474,"1,025,378"
Volksbank Warendorf eG,info@volksbank-eg.de,51.95324,7.99123,"2,691,403"
Volksbank Vorpommern eG,info@vbvorpommern.de,54.09579,13.38152,"893,223"
Volksbank Vogtland-Saale-Orla eG,info@vb-vso.de,50.49506,12.13465,"948,488"
Volksbank Visbek eG,info@vbvisbek.de,52.83377,8.31485,"265,988"
Volksbank Viersen eG,info@olksbankviersen.de,51.25621,6.39055,"1,105,721"
Volksbank Versmold eG,info@volksbank-versmold.de,52.04167,8.14939,"255,141"
Volksbank Vechta eG,info@vbvechta.de,52.73107,8.28732,"1,514,080"
Volksbank Ulrichstein eG,info@volksbank-ulrichstein.de,50.57597,9.19296,"74,943"
Volksbank Ulm-Biberach eG,info@volksbank-ulm-biberach.de,48.3974,9.99343,"3,446,421"
Volksbank Uelzen-Salzwedel eG,info@vb-ue-saw.de,52.98407,10.53859,"994,490"
Volksbank Überwald-Gorxheimertal eG,info@vbuego.de,49.54334,8.78807,"257,800"
Volksbank Überlingen eG,info@volksbank-ueberlingen.de,47.76672,9.16665,"1,933,094"
Volksbank Überherrn eG,info@vb-ueberherrn.de,49.24477,6.70002,"109,359"
Volksbank Trossingen eG,info@volksbank-trossingen.de,48.07506,8.6363,"306,899"
Volksbank Trier eG,info@volksbank-trier.de,49.75962,6.64419,"2,268,424"
Volksbank Thüringen Mitte eG,info@volksbank-thueringen-mitte.de,50.9778,11.02874,"1,341,500"
Volksbank Sulmtal eG,info@volksbank-sulmtal.de,49.1424,9.43583,"609,470"
Volksbank Südmünsterland-Mitte eG,info@vobadirekt.de,51.77178,7.44464,"1,221,390"
Volksbank Südkirchen-Capelle-Nordkirchen eG,info@volksbank-nordkirchen.de,51.73802,7.52518,"185,382"
Volksbank Süd-Emsland eG,info@vbsuedemsland.de,52.36732,7.46703,"1,010,235"
Volksbank Stuttgart eG,info@volksbank-stuttgart.de,48.77845,9.18001,"8,899,645"
Volksbank Störmede-Hörste eG,info@voba-sh.de,51.63953,8.51258,"198,827"
Volksbank Stendal eG,info@vbstendal.de,52.60508,11.85943,"295,785"
Volksbank Staufen eG,info@volksbank-staufen.de,47.88321,7.73293,"969,644"
Volksbank Stade-Cuxhaven eG,info@vobaeg.de,53.59979,9.47544,"1,770,698"
Volksbank Sprockhövel eG,info@vbsprockhoevel.de,51.36666,7.24859,"696,086"
Volksbank Spree-Neiße eG,info@vbspn.de,51.74386,14.64554,"330,568"
Volksbank Solling eG,info@vbsolling.de,51.6528,9.8322,"476,959"
Volksbank Senden eG,info@vb-senden.de,48.32437,10.04681,"343,243"
Volksbank Selm-Bork eG,info@vb-selm-bork.de,51.70055,7.46861,"410,228"
VOLKSBANK SELIGENSTADT EG,info@voba-seligenstadt.de,50.04417,8.97551,"188,747"
Volksbank Schwarzwald-Donau-Neckar eG,info@vbsdn.de,47.98443,8.81866,"2,256,225"
Volksbank Schwanewede eG,info@voba-schwanewede.de,53.22547,8.59433,"98,553"
Volksbank Schupbach eG,info@volksbank-schupbach.de,50.46339,8.14569,"135,892"
Volksbank Schnathorst eG,info@vb-schnathorst.de,52.27395,8.67044,"357,670"
Volksbank Schlangen eG,info@volksbank-schlangen.de,51.81468,8.845,"249,745"
Volksbank Schermbeck eG,info@vb-schermbeck.de,51.69261,6.87022,"712,958"
Volksbank Sauerland eG,info@vb-sauerland.de/,51.40024,8.06059,"4,030,091"
Volksbank Sangerhausen eG,info@volksbank-sangerhausen.de,51.47298,11.29819,"179,724"
Volksbank Sandhofen eG,info@vobasandhofen.de,49.48929,8.46731,"258,558"
Volksbank Ruhr Mitte eG,info@vb-ruhrmitte.de,51.51103,7.09601,"2,630,572"
Volksbank Rottweil eG,info@volksbank-rottweil.de,48.16553,8.62513,"1,164,442"
Volksbank Rot eG,info@volksbank-rot.de,49.26722,8.61145,"154,169"
Volksbank Rietberg eG,info@volksbank-rietberg.de,51.80741,8.42866,"1,014,091"
Volksbank Riesa eG,info@volksbank-riesa.de,51.30382,13.30883,"474,429"
Volksbank Rheinböllen eG,info@voba-rheinboellen.de,50.00585,7.67017,"226,199"
Volksbank RheinAhrEifel eG,info@voba-rheineifel.de,50.35333,7.5944,"4,425,293"
Volksbank Rhein-Wehra eG,info@volksbank-rhein-wehra.de,47.55255,7.94954,"1,463,733"
Volksbank Rhein-Ruhr eG,info@volksbank-rhein-ruhr.de,51.435,6.75956,"2,192,084"
Volksbank Rhein-Nahe-Hunsrück eG,info@voba-rnh.de,49.84896,7.86281,"2,077,198"
Volksbank Rhein-Lippe eG,info@volksbank-rhein-lippe.de,51.65769,6.61709,"1,679,223"
Volksbank Rhein-Lahn-Limburg eG,info@voba-rll.de,50.36942,8.01745,"2,504,055"
Volksbank Rhein-Erft-Köln eG,info@voba-rhein-erft-koeln.de,50.88074,6.87657,"2,889,415"
Volksbank Rhede eG,info@volksbank-rhede.de,51.83631,6.69609,"827,470"
Volksbank Remseck eG,info@volksbank-remseck.de,48.87495,9.2649,"292,592"
Volksbank Rathenow eG,info@vbrn.de,52.60639,12.33826,"362,688"
Volksbank Raiffeisenbank Würzburg eG,info@vr-bank-wuerzburg.de,49.79245,9.93297,"2,309,461"
Volksbank Raiffeisenbank Starnberg-Herrsching-Landsberg eG,info@vrsta.de,48.0001,11.3509,"3,112,207"
Volksbank Raiffeisenbank Regensburg-Schwandorf eG,info@volksbank-raiffeisenbank-regensburg-schwandorf.de,49.01953,12.09749,"1,766,254"
"Volksbank Raiffeisenbank Oberbayern Südost eG, Bad Reichenhall",info@vrbank-obb-so.de,47.72227,12.87609,"2,056,411"
"Volksbank Raiffeisenbank Nordoberpfalz eG, Weiden",info@vr-nordoberpfalz.de,49.80683,7.3007,"3,919,821"
Volksbank Raiffeisenbank Niederschlesien eG,info@vrb-niederschlesien.de,51.15632,14.99102,"529,367"
Volksbank Raiffeisenbank Meißen Großenhain eG,info@vr-meissen.de,51.16309,13.47049,"580,099"
Volksbank Raiffeisenbank Fürstenfeldbruck eG,info@vrbank-ffb.de,48.18138,11.23821,"2,128,174"
Volksbank Raiffeisenbank eG,info@vreg.de,53.91945,9.51724,"3,640,727"
Volksbank Raiffeisenbank Dachau eG,info@vr-dachau.de,48.25925,11.43544,"2,642,145"
"Volksbank Raiffeisenbank Bayern Mitte eG, Ingolstadt",info@vr-bayernmitte.de,48.76302,11.42504,"5,077,819"
Volksbank Raiffeisenbank Bad Kissingen eG,info@die-vrbank.de,50.19857,10.07468,"1,263,041"
Volksbank Raiffeisenbank,info@vvr-bank.de,48.23053,9.87716,"1,526,150"
Volksbank Raesfeld und Erle eG,info@vbraesfeldunderle.de,51.76938,6.83824,"301,014"
Volksbank Plochingen eG,info@volksbank-plochingen.de,48.71117,9.4185,"1,918,126"
Volksbank Pirna eG,info@volksbank-pirna.de,50.96169,13.93866,"576,035"
Volksbank Pfullendorf eG,info@volksbank-pfullendorf.de,47.9246,9.2533,"239,303"
Volksbank Oyten eG,info@vboyten.de,53.05945,9.01887,"227,895"
Volksbank Ostlippe eG,info@volksbank-ostlippe.de,51.94243,9.0919,"239,605"
Volksbank Olpe-Wenden-Drolshagen eG,info@voba-owd.de,51.02946,7.84389,"911,101"
Volksbank Oldenburg eG,info@oldenburger-volksbank.de,53.13898,8.2146,"1,756,288"
Volksbank Ochtrup-Laer eG,info@vbol.de,52.20964,7.18861,"819,288"
Volksbank Oberberg eG,info@vb-oberberg.de,50.94785,7.55301,"4,324,112"
Volksbank Ober-Mörlen eG,info@voba-ober-moerlen.de,50.37269,8.69253,"163,809"
Volksbank Nottuln eG,info@volksbank-nottuln.de,51.93025,7.35339,"583,294"
Volksbank Nordschwarzwald eG,info@volksbank-nordschwarzwald.de,48.52598,8.56488,"514,379"
Volksbank Nordhümmling eG,info@vb-nordhuemmling.de,52.91291,7.53524,"240,650"
Volksbank Nordharz eG,info@vbnh.de,51.90599,10.42663,"414,786"
Volksbank Niedersachsen-Mitte eG,info@volksbank-niedersachsen-mitte.de,52.8065,9.13957,"2,220,579"
Volksbank Niederrhein eG,info@volksbank-niederrhein.de,51.57675,6.51288,"2,006,324"
Volksbank Niedergrafschaft eG,info@voba-niedergrafschaft.de,52.49376,6.88615,"551,789"
Volksbank Neckartal eG,info@volksbank-neckartal.de,49.46353,8.98552,"2,504,818"
Volksbank Münsterland Nord eG,info@volksbank-mn.de,51.96251,7.62519,"7,213,328"
Volksbank Münsingen eG,info@volksbank-muensingen.de,48.41286,9.49479,"548,416"
Volksbank Mönchengladbach eG,info@voba-mg.de,51.1947,6.43536,"2,673,459"
Volksbank Möckmühl eG,info@voba-moeckmuehl.de,49.3233,9.36114,"902,691"
Volksbank Mittweida eG,info@volksbank-mittweida.de,50.98546,12.98105,"2,551,893"
Volksbank Mittleres Erzgebirge eG,info@volksbank-mittleres-erzgebirge.de,50.6564,13.34524,"374,807"
Volksbank Mittlerer Schwarzwald eG,info@voba-msw.de,48.29858,8.22261,"1,438,632"
Volksbank Mittlerer Neckar eG,info@v-mn.de,48.74276,9.30717,"4,806,517"
Volksbank Mittelhessen eG,info@vb-mittelhessen.de,50.58621,8.67423,"10,257,855"
Volksbank Meßkirch eG Raiffeisenbank,info@volksbank-messkirch.de,47.99238,9.11426,"472,689"
Volksbank Marl-Recklinghausen eG,info@vb-marl-recklinghausen.de,51.64858,7.08291,"1,275,986"
Volksbank Mainspitze eG,info@voba-mainspitze.de,49.98453,8.3255,"694,503"
Volksbank Main-Tauber eG,info@vobamt.de,49.62297,9.66271,"2,927,876"
Volksbank Magdeburg eG,info@volksbank-magdeburg.de,52.13159,11.63996,"1,052,095"
Volksbank Lüneburger Heide eG,info@vblh.de,53.832,10.01568,"4,024,982"
Volksbank Lübeck eG,info@volksbank-luebeck.de,53.86644,10.68474,"1,150,835"
Volksbank Lübbecker Land eG,info@volksbank-luebbecker-land.de,52.30272,8.61831,"1,260,277"
Volksbank Lohne-Mühlen eG,info@vblohne-muehlen.de,52.66526,8.23635,"631,609"
Volksbank Löbau-Zittau eG,info@vb-loebau-zittau.de,51.00073,14.59866,"752,266"
Volksbank Lindenberg eG,info@volksbank-lindenberg.de,47.60156,9.88639,"390,334"
Volksbank Limbach eG,info@vb-limbach.de,50.7012,7.79998,"109,931"
Volksbank Leonberg-Strohgäu eG,info@vbleos.de,48.8013,9.015,"1,755,928"
Volksbank Lauterecken eG,info@vb-lauterecken.de,49.65004,7.592,"291,906"
Volksbank Lauterbach-Schlitz eG,info@volksbank-aktiv.de,50.63789,9.39826,"711,192"
Volksbank Lastrup eG,info@vblastrup.de,52.7964,7.86427,"183,650"
Volksbank Langendernbach eG,info@volksbank-langendernbach.de,50.50877,8.01567,"118,159"
Volksbank Lahr eG,info@volksbank-lahr.de,49.94403,6.29096,"3,120,383"
Volksbank Kurpfalz eG,info@volksbank-kurpfalz.de,49.40936,8.69472,"3,736,269"
Volksbank Krefeld eG,info@vbkrefeld.de,51.33312,6.56233,"2,276,717"
Volksbank Krautheim eG,info@vobak.de,49.38618,9.63463,"187,202"
Volksbank Kraichgau eG,info@vbkraichgau.de,49.29426,8.69871,"6,252,923"
Volksbank Köthen eG,info@vb-abi.de,51.75,11.9667,"170,401"
Volksbank Köln Bonn eG,info@volksbank-koeln-bonn.de,50.73585,7.10066,"6,022,380"
Volksbank Kleverland eG,info@volksbank-kleverland.de,51.78548,6.13137,"870,219"
Volksbank Klettgau-Wutöschingen eG,info@voba-kw.de,47.65962,8.36518,"1,021,736"
Volksbank Kirnau eG,info@volksbank-kirnau.de,49.01996,10.03017,"267,574"
Volksbank Kierspe eG,info@volksbank-kierspe.de,51.12785,7.60065,"156,512"
Volksbank Kempen-Grefrath eG,info@vb-kempen.de,51.36421,6.4195,"532,992"
Volksbank Kassel Göttingen eG,info@volksbank-kassel-goettingen.de,51.31545,9.49241,"3,407,199"
Volksbank Karlsruhe Baden-Baden eG,info@volksbank-pur.de,49.00687,8.40342,"7,139,192"
Volksbank Kaiserslautern eG,info@vobakl.de,49.44322,7.769,"1,604,687"
Volksbank Jever eG,info@volksbank-jever.de,53.57364,7.90207,"1,286,645"
Volksbank Jerichower Land eG,info@vb-jerichower-land.de,49.96003,6.35121,"431,126"
Volksbank in Südwestfalen eG,info@vbinswf.de,50.87498,8.02272,"4,294,570"
Volksbank in Schaumburg und Nienburg eG,info@shg-aktuell.de,52.2611,9.0489,"2,670,032"
Volksbank in der Hohen Mark eG,info@vb-hm.de,51.8311,7.04418,"673,513"
VOLKSBANK IMMENSTADT eG,info@volksbank-immenstadt.de,47.55911,10.2138,"95,054"
Volksbank im Wesertal eG,info@vb-iw.de,52.12026,9.54933,"331,891"
Volksbank im Hochsauerland eG,info@vb-im-hochsauerland.de,51.25468,8.17144,"693,536"
Volksbank im Harz eG,info@vbimharz.de,51.72784,10.25082,"550,256"
Volksbank im Bergischen Land eG,info@bergische-volksbank.de,51.17987,7.19435,"3,025,488"
Volksbank Hohenzollern-Balingen eG,info@voba-hoba.de,48.27375,8.85579,"1,635,886"
Volksbank Hohenlohe eG,info@vb-hohenlohe.de,49.2005,9.50244,"2,052,164"
Volksbank Hohenlimburg eG,info@vb-hohenlimburg.de,51.35829,7.4733,"677,294"
Volksbank Hochrhein eG,info@volksbank-hochrhein.de,47.62818,8.24086,"1,611,215"
Volksbank Heuchelheim eG,info@voba-heuchelheim.d,50.58253,8.6306,"587,788"
Volksbank Herrenberg-Nagold-Rottenburg eG,info@vbidr.de,48.55124,8.72349,"4,337,266"
Volksbank Herford-Mindener Land eG,info@meinevolksbank.de,52.11522,8.67111,"4,550,733"
Volksbank Hellweg eG,info@volksbank-hellweg.de,51.57255,8.10613,"2,004,139"
Volksbank Heinsberg eG,info@volksbank-heinsberg.de,51.06543,6.09845,"1,774,895"
Volksbank Heimbach eG,info@vb-heimbach.de,49.61415,7.24819,"77,986"
Volksbank Heiden eG,info@vbheiden.de,51.82656,6.93405,"370,343"
Volksbank Haselünne eG,info@vbhaseluenne.de,52.67187,7.48305,"458,754"
Volksbank Hamm/Sieg eG,info@volksbank-hamm.de,51.68041,7.8152,"150,885"
Volksbank Hameln-Stadthagen eG,info@volksbank-hameln-stadthagen.de,52.10399,9.35616,"1,800,490"
Volksbank Halle/Westf. eG,info@vb-halle.de,52.06034,8.36156,"699,096"
Volksbank Halle (Saale) eG,info@vbhalle.de,51.4825,11.97055,"1,299,836"
Volksbank Haaren eG,info@vbhaaren.de,51.06673,5.98881,"118,119"
Volksbank Gronau-Ahaus eG,info@vbga.de,52.21185,7.02363,"4,057,503"
Volksbank Grebenhain eG,info@vb-grebenhain.de,50.49645,9.32546,"143,000"
Volksbank Göppingen eG,info@volksbank-goeppingen.de,48.70314,9.65411,"2,810,700"
Volksbank GMHütte-Hagen-Bissendorf eG (GHB),info@vbghb.de,52.2,8.05,"640,291"
Volksbank Glan-Münchweiler eG,info@voba-glm.de,49.47205,7.44062,"781,891"
Volksbank Gescher eG,info@vb-gescher.de,51.95687,7.00388,"543,798"
Volksbank Gemen eG,info@vb-gemen.de,51.84432,6.85822,"226,580"
Volksbank Geeste-Nord eG,info@vbgn.de,53.58154,8.63497,"224,966"
Volksbank Geest eG,info@vbgeest.de,53.43528,9.61632,"620,430"
Volksbank Gebhardshain eG,info@vbgebhardshain.de,50.7469,7.82186,"189,039"
Volksbank Gardelegen eG,info@volksbank-gardelegen.de,52.52656,11.39298,"146,074"
Volksbank Friedrichshafen-Tettnang eG,info@volksbank-fntt.de,47.67166,9.58912,"1,776,402"
Volksbank Freiburg eG,info@volksbank-freiburg.de,47.99609,7.8494,"4,140,924"
Volksbank Franken eG,info@volksbank-franken.de/,49.5223,9.32432,"1,328,289"
Volksbank Flein-Talheim eG,info@vb-flein-talheim.de,49.10059,9.21386,"276,943"
Volksbank Filder eG,info@volksbank-filder.de,50.675,13.4667,"1,160,267"
Volksbank Feldatal eG,info@volksbank-feldatal.de,50.63916,9.18117,"61,812"
Volksbank Eutin Raiffeisenbank eG,info@vbeutin.de,54.13646,10.61591,"647,208"
Volksbank Euskirchen eG,info@eu-banking.de,50.66126,6.78712,"2,037,444"
